title,type,release_year,age,is_recent,duration_num,is_tv,is_us,year_added,country_primary,genre_primary,rating,listed_in,cast,has_known_actor,imdb_rating,imdb_votes,trending
Kevin Hart: Zero F**ks Given,Movie,2020,6,1,70.0,0,1,2020,United States,stand-up comedy,TV-MA,stand-up comedy,Kevin Hart,1,6.1,3897.0,0
We Are the Champions,TV Show,2020,6,1,1.0,1,1,2020,United States,docuseries,TV-MA,"docuseries, reality tv",,0,7.1,1652.0,0
Loving,Movie,2016,10,1,124.0,0,0,2020,United Kingdom,dramas,PG-13,"dramas, romantic movies","Joel Edgerton, Ruth Negga, Marton Csokas, Nick Kroll, Michael Shannon, Terri Abney, Alano Miller, Jon Bass, Bill Camp, David Jensen",1,7.0,38302.0,1
A Very Country Christmas,Movie,2017,9,1,84.0,0,1,2020,United States,music & musicals,TV-G,"music & musicals, romantic movies","Bea Santos, Greyston Holt, Greg Vaughan, Deana Carter, Allison Hossack",0,6.1,2012.0,0
Cloudy with a Chance of Meatballs 2,Movie,2013,13,0,95.0,0,1,2020,United States,children & family movies,PG,"children & family movies, comedies","Bill Hader, Anna Faris, James Caan, Will Forte, Andy Samberg, Benjamin Bratt, Neil Patrick Harris, Terry Crews, Kristen Schaal",1,6.3,123943.0,1
American Horror Story,TV Show,2019,7,1,9.0,1,1,2020,United States,tv horror,TV-MA,"tv horror, tv mysteries, tv thrillers","Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston",1,7.6,82.0,0
Jingle Jangle: A Christmas Journey,Movie,2020,6,1,124.0,0,1,2020,United States,children & family movies,PG,"children & family movies, music & musicals","Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin, Justin Cornwell, Sharon Rose, Lisa Davina Phillip, Kieron Dyer",1,6.4,21636.0,1
Fruitvale Station,Movie,2013,13,0,85.0,0,1,2020,United States,dramas,R,"dramas, independent movies","Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand, Chad Michael Murray, Ahna O'Reilly, Ariana Neal, Keenan Coogler, Trestin George, Joey Oglesby",1,7.5,90020.0,1
Graceful Friends,TV Show,2020,6,1,1.0,1,0,2020,South Korea,crime tv shows,TV-MA,"crime tv shows, international tv shows, tv dramas","Yu Jun-sang, Song Yoon-a, Bae Soo-bin, Kim Sung-oh, Jung Seok-yong, Kim Won-hae",1,7.0,217.0,0
Aunty Donna's Big Ol' House of Fun,TV Show,2020,6,1,1.0,1,0,2020,Australia,tv comedies,TV-MA,tv comedies,"Mark Samual Bonanno, Broden Kelly, Zachary Ruane, Ed Helms, Kristen Schaal, Weird Al Yankovic, Kia Stevens, Paul F. Tompkins, Tawny Newsome",1,7.9,7456.0,0
The Liberator,TV Show,2020,6,1,1.0,1,1,2020,United States,tv action & adventure,TV-MA,"tv action & adventure, tv dramas","Bradley James, Martin Sensmeier, Jose Miguel Vasquez, Forrest Goodluck, Bryan Hibbard, Matt Mercurio, Harrison Stone, Billy Breed, Tatanka Means, Kiowa Gordon",1,7.6,7471.0,0
Bakugan: Battle Planet,TV Show,2018,8,1,1.0,1,0,2020,Japan,anime series,TV-PG,"anime series, kids' tv","Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes",0,4.5,343.0,0
Citation,Movie,2020,6,1,151.0,0,0,2020,Nigeria,dramas,TV-MA,"dramas, international movies","Temi Otedola, Jimmy Jean-Louis, Joke Silva, Gabriel Afolayan, Adjetey Anang, Ini Edo, Sadiq Daba, Wole Olowomojuore, Yomi Fash-Lanso, Bukunmi Oluwashina, Bienvenu Neba, Ray Reboul, Ibukun Awosika, Seun Kuti",1,6.1,1078.0,0
The Endless Trench,Movie,2019,7,1,148.0,0,0,2020,Spain,dramas,TV-MA,"dramas, independent movies, international movies","Antonio de la Torre, Belén Cuesta, Vicente Vergara, José Manuel Poga, Emilio Palacios",1,7.2,7773.0,0
Wrong Kind of Black,TV Show,2018,8,1,1.0,1,0,2020,Australia,international tv shows,TV-MA,"international tv shows, tv comedies, tv dramas","Clarence Ryan, Aaron L. McGrath, Lisa Flanagan, Tommy Lewis, Nilbi Yasserie, Christopher Ketchup, Boori Monty Pryor, Jacek Koman, Colin Lane, Arthur Angel, Toby Truslove",1,7.8,192.0,0
Alone/Together,Movie,2019,7,1,103.0,0,0,2020,Philippines,dramas,TV-14,"dramas, international movies, romantic movies","Liza Soberano, Enrique Gil, Adrian Alandy, Jasmine Curtis-Smith, Sylvia Sanchez, Nonie Buencamino, Xia Vigor, Richard Manabat",1,6.4,598.0,0
Paranormal,TV Show,2020,6,1,1.0,1,0,2020,Egypt,international tv shows,TV-14,"international tv shows, tv dramas, tv horror","Ahmed Amin, Razane Jammal, Ayah Samaha, Samaa Ibrahem, Roshdy El Shamy, Reem Abd El Kader",0,8.0,74764.0,1
MOTHER,Movie,2020,6,1,127.0,0,0,2020,Japan,dramas,TV-14,"dramas, international movies","Masami Nagasawa, Sadao Abe, Daiken Okudaira",0,6.8,3475.0,0
60 Days In,TV Show,2019,7,1,1.0,1,1,2020,United States,reality tv,TV-MA,reality tv,,0,6.1,108.0,0
LEGO: CITY Adventures,TV Show,2019,7,1,1.0,1,1,2020,United States,kids' tv,TV-Y,"kids' tv, tv comedies","Joe Zieja, Misty Lee, Alex Cazares, Daniel MK Cohen, James Arnold Taylor, Roger Craig Smith, Mick Lauer",1,6.7,314.0,0
Mile 22,Movie,2018,8,1,94.0,0,1,2020,United States,action & adventure,R,action & adventure,"Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich, Ronda Rousey, Carlo Alban, Sam Medina, Terry Kinney, Nikolai Nikolaeff, Natasha Goubskaya",1,6.1,92734.0,1
The Impossible,Movie,2012,14,0,114.0,0,0,2020,Spain,dramas,PG-13,dramas,"Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura, Sönke Möhring, Geraldine Chaplin, Ploy Jindachote, Jomjaoi Sae-Limh",1,7.5,261851.0,1
Wheels of Fortune,Movie,2020,6,1,107.0,0,1,2020,United States,comedies,R,"comedies, sports movies","Matt Jones, Noureen DeWulf, John Ducey, Matty Cardarople, Jeff Fahey, Christina Moore, Gabriel Tigerman, Ali Afshar, Tyler Jacob Moore, Jessica Serfaty",1,5.5,1105.0,0
Hidden in Plain Sight,Movie,2019,7,1,87.0,0,1,2020,United States,dramas,TV-14,"dramas, independent movies, thrillers","Victoria Barabas, Gino Anthony Pesi, Jake Allyn, Deborah Van Valkenburgh, Jessica Meraz, Jack Fisher, Eve Sigall, Jerod Meagher",0,4.3,914.0,0
His House,Movie,2020,6,1,93.0,0,0,2020,United Kingdom,horror movies,TV-14,"horror movies, independent movies","Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",0,6.4,51937.0,1
In Line,Movie,2017,9,1,114.0,0,0,2020,Nigeria,dramas,TV-14,"dramas, international movies","Chris Attoh, Adesua Etomi, Uzor Arukwe, Sika Osei, Leonora Okien, Shawn Faqua, Tina Mba",1,6.1,51.0,0
Rogue City,Movie,2020,6,1,116.0,0,0,2020,France,dramas,TV-MA,"dramas, international movies, thrillers","Lannick Gautry, Stanislas Merhar, Kaaris, David Belle, Jean Reno, Claudia Cardinale, Gérard Lanvin, Patrick Catalifo, Moussa Maaskri, Catherine Marchal",1,6.1,10485.0,1
Nobody Sleeps in the Woods Tonight,Movie,2020,6,1,103.0,0,0,2020,Poland,horror movies,TV-MA,"horror movies, international movies","Julia Wieniawa-Narkiewicz, Michał Lupa, Wiktoria Gąsiewska, Stanisław Cywka, Sebastian Dela, Gabriela Muskała, Michał Zbroja, Mirosław Zbrojewicz, Piotr Cyrwus, Olaf Lubaszenko, Wojciech Mecwaldowski",0,4.9,15053.0,1
Secrets of the Saqqara Tomb,Movie,2020,6,1,114.0,0,1,2020,United States,documentaries,TV-PG,documentaries,,0,7.2,7531.0,0
Blood of Zeus,TV Show,2020,6,1,1.0,1,1,2020,United States,anime series,TV-MA,anime series,"Derek Phillips, Jason O'Mara, Claudia Christian, Mamie Gummer, Jessica Henwick, Elias Toufexis, Chris Diamantopoulos, Adetokumboh M'Cormack, Matthew Mercer, Melina Kanakaredes, Danny Jacobs, Matt Lowe, Adam Croasdell, Jennifer Hale, David Shaughnessy, Fred Tatasciore, Vanessa Marshall",1,7.5,27672.0,1
Sarah Cooper: Everything's Fine,Movie,2020,6,1,50.0,0,1,2020,United States,comedies,TV-MA,comedies,"Sarah Cooper, Fred Armisen, Maya Rudolph, Ben Stiller, Megan Thee Stallion, Jane Lynch, Jon Hamm, Aubrey Plaza, Connie Chung, Jordan Black, Tommy Davidson, Helen Mirren, Jonathan Van Ness, Danielle Brooks, Winona Ryder, Marcella Arguello, Eddie Pepitone, Marisa Tomei, Whoopi Goldberg, Tom Kane",1,5.5,1872.0,0
I Am Woman,Movie,2019,7,1,117.0,0,0,2020,Australia,dramas,TV-MA,"dramas, music & musicals","Tilda Cobham-Hervey, Danielle Macdonald, Evan Peters, Chris Parnell, David Lyons, Matty Cardarople, Dusty Sorg",1,6.6,3166.0,0
Shattered Memories,Movie,2018,8,1,86.0,0,1,2020,United States,dramas,TV-14,"dramas, thrillers","Elizabeth Bogush, Brad Schmidt, Sarah Lind, Eddie Kaye Thomas, Phillip Boyd, Victoria Barabas, Mark Famiglietti, Walker Borba, Meg DeLacy",1,4.2,362.0,0
Rebecca,Movie,2020,6,1,123.0,0,0,2020,United Kingdom,dramas,PG-13,"dramas, romantic movies, thrillers","Lily James, Armie Hammer, Kristin Scott Thomas, Keeley Hawes, Ann Dowd, Sam Riley, Tom Goodman-Hill, Mark Lewis Jones, John Hollingworth, Bill Paterson",1,6.1,49927.0,1
Whispers,Movie,1980,46,0,93.0,0,0,2020,Lebanon,documentaries,TV-14,"documentaries, international movies","Nadia Tueni, Ziad Rahbani",0,7.6,93.0,0
The Trial of the Chicago 7,Movie,2020,6,1,130.0,0,1,2020,United States,dramas,R,dramas,"Sacha Baron Cohen, Eddie Redmayne, Yahya Abdul-Mateen II, Jeremy Strong, Mark Rylance, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Alex Sharp, John Doman, Ben Shenkman",1,7.7,204055.0,1
Kartini: Princess of Java,Movie,2017,9,1,118.0,0,0,2020,Indonesia,dramas,TV-PG,"dramas, international movies","Dian Sastrowardoyo, Ayushita, Acha Septriasa, Deddy Sutomo, Christine Hakim, Djenar Maesa Ayu, Denny Sumargo, Adinia Wirasti, Reza Rahadian",1,7.6,725.0,0
Love Like the Falling Rain,Movie,2020,6,1,87.0,0,0,2020,Indonesia,dramas,TV-14,"dramas, international movies, romantic movies","Jefri Nichol, Aurora Ribero, Axel Matthew, Nadya Arina, Karina Suwandhi, Rebecca Klopper",1,4.8,235.0,0
BLACKPINK: Light Up the Sky,Movie,2020,6,1,80.0,0,1,2020,United States,documentaries,TV-14,"documentaries, music & musicals",Blackpink,0,7.3,7775.0,0
The Three Deaths of Marisela Escobedo,Movie,2020,6,1,110.0,0,0,2020,Mexico,documentaries,TV-MA,"documentaries, international movies",,0,8.1,2190.0,0
The Cabin with Bert Kreischer,TV Show,2020,6,1,1.0,1,1,2020,United States,reality tv,TV-MA,"reality tv, tv comedies","Bert Kreischer, Anthony Anderson, Caitlyn Jenner, Tom Segura, Joey Diaz, Nikki Glaser, Fortune Feimster, Bobby Lee, Donnell Rawlings, Kaley Cuoco, Joel McHale, Ms. Pat, Deon Cole, Big Jay Oakerson",1,6.8,2144.0,0
Disco Dancer,Movie,1982,44,0,134.0,0,0,2020,India,cult movies,TV-14,"cult movies, dramas, international movies","Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",1,6.5,1891.0,0
Kipo and the Age of Wonderbeasts,TV Show,2020,6,1,3.0,1,1,2020,United States,kids' tv,TV-Y7,"kids' tv, tv comedies","Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum",1,8.3,8275.0,0
The Legend of Bhagat Singh,Movie,2002,24,0,156.0,0,0,2020,India,dramas,TV-14,"dramas, international movies","Ajay Devgn, Sushant Singh, D. Santosh, Akhilendra Mishra, Raj Babbar, Farida Jalal, Amrita Rao, Mukesh Tiwari",1,8.1,17518.0,1
The Haunting of Bly Manor,TV Show,2020,6,1,1.0,1,1,2020,United States,tv dramas,TV-MA,"tv dramas, tv horror, tv mysteries","Victoria Pedretti, Oliver Jackson-Cohen, Henry Thomas, Amelia Eve, T'Nia Miller, Rahul Kohli, Tahirah Sharif, Amelie Bea Smith, Benjamin Evan Ainsworth",1,7.4,139295.0,1
Hubie Halloween,Movie,2020,6,1,104.0,0,1,2020,United States,comedies,PG-13,"comedies, horror movies","Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler",1,5.3,67646.0,1
Walk Away from Love,Movie,2017,9,1,81.0,0,1,2020,United States,dramas,TV-14,"dramas, romantic movies","Noree Victoria, Brad James, Robert Christopher Riley, Brely Evans, Sabrina Revelle",1,6.7,126.0,0
David Attenborough: A Life on Our Planet,Movie,2020,6,1,84.0,0,1,2020,United States,documentaries,PG,documentaries,David Attenborough,1,8.9,35920.0,1
Good Game: The Beginning,Movie,2018,8,1,115.0,0,0,2020,Turkey,dramas,TV-14,"dramas, international movies, sports movies","Mert Yazıcıoğlu, Afra Saraçoğlu, Yiğit Kirazcı, Orkun Işıtmak, Bahar Şahin, Tolga Canbeyli, Bada Oh Deniz, Hakan Kurtaş, Doğaç Yildiz",1,4.7,6927.0,0
A Chaster Marriage,Movie,2016,10,1,94.0,0,0,2020,Turkey,comedies,TV-14,"comedies, international movies, romantic movies","Emre Karayel, Ceren Moray, Begüm Kütük, Ececan Gümeci, Ümit Erdim, Cem Kiliç, Haldun Boysan, Ferdi Akarnur, Mine Teber, Güneş Hayat",0,5.4,1095.0,0
Hunt for the Wilderpeople,Movie,2016,10,1,101.0,0,0,2020,New Zealand,action & adventure,PG-13,"action & adventure, comedies, dramas","Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby",1,7.8,150963.0,1
The Book of Sun,Movie,2020,6,1,120.0,0,0,2020,Saudi Arabia,comedies,TV-14,"comedies, independent movies, international movies","Baraa Alem, Ismail Alhassan, Ahmed Saddam, Sohayb Godus, Nawaf Alshubaili, Eyad Ayman Kaifi",0,7.9,11724.0,1
We Have Always Lived in the Castle,Movie,2018,8,1,95.0,0,1,2020,United States,dramas,TV-14,"dramas, thrillers","Taissa Farmiga, Alexandra Daddario, Crispin Glover, Sebastian Stan, Paula Malcomson, Peter Coonan, Ian Toner, Joanne Crawford",1,5.6,10281.0,1
Baxu and the Giants,Movie,2019,7,1,29.0,0,0,2020,Namibia,dramas,TV-PG,"dramas, international movies","Camilla Jo-Ann Daries, Wafeeq Narimab, Anna Louw, Steven Afrikaner, Ashwyn Mberi, Robert Hara Gaeb",0,7.1,76.0,0
Welcome to Sudden Death,Movie,2020,6,1,80.0,0,1,2020,United States,action & adventure,R,action & adventure,"Michael Jai White, Michael Eklund, Sabryn Rock, Nakai Takawira, Lyric Justice, Sagine Semajuste, Gary Owen, Anthony Grant, Kristen Harris, BJ Verot, Sean Skene, Marrese Crump, Stephanie Sy, Jeff Strome, Adam Hurtig, Gillian White, Anthony J. Mifsud",1,4.2,1567.0,0
Jab We Met,Movie,2007,19,0,143.0,0,0,2020,India,comedies,TV-14,"comedies, international movies, music & musicals","Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh, Pavan Malhotra, Kamal Tiwari, Kiran Juneja, Divya Seth, Saumya Tandon",1,7.9,64602.0,1
Mann,Movie,1999,27,0,173.0,0,0,2020,India,dramas,TV-14,"dramas, international movies, romantic movies","Aamir Khan, Manisha Koirala, Sharmila Tagore, Dipti Bhatnagar, Dalip Tahil, Anil Kapoor",1,6.1,5829.0,0
A Perfect Crime,TV Show,2020,6,1,1.0,1,0,2020,Germany,crime tv shows,TV-14,"crime tv shows, docuseries, international tv shows",,0,7.3,1746.0,0
Kiss the Ground,Movie,2020,6,1,85.0,0,1,2020,United States,documentaries,TV-G,documentaries,Woody Harrelson,1,8.1,8095.0,0
Road To High & Low,Movie,2016,10,1,94.0,0,0,2020,Japan,action & adventure,TV-MA,"action & adventure, international movies","Takanori Iwata, Nobuyuki Suzuki, Keita Machida, Akira, Sho Aoyagi, Keiji Kuroki, Yuki Yamada, Masataka Kubota, Kento Hayashi, Kenjiro Yamashita, Kanta Sato, Taiki Sato, Takahiro, Hiroomi Tosaka, Tatsuya Nakamura, Arata Iura",1,6.6,324.0,0
The American Barbecue Showdown,TV Show,2020,6,1,1.0,1,1,2020,United States,reality tv,TV-G,reality tv,"Lyric Lewis, Rutledge Wood",1,7.1,2105.0,0
Anaamika,Movie,2014,12,0,130.0,0,0,2020,India,international movies,TV-14,"international movies, thrillers","Nayantara, Vaibhav Reddy, Pasupathy, Harshvardhan Rane, Thagubothu Ramesh, Vinay Varma, Dheer Charan Srivastav, D. Narsingh Rao",1,5.5,332.0,0
The Last Word,TV Show,2020,6,1,1.0,1,0,2020,Germany,international tv shows,TV-MA,"international tv shows, tv comedies, tv dramas","Anke Engelke, Thorsten Merten, Nina Gummich, Johannes Zeiler, Juri Winkler, Gudrun Ritter, Aaron Hilmer, Claudia Geisler-Bading",0,7.1,1263.0,0
The Paramedic,Movie,2020,6,1,94.0,0,0,2020,Spain,dramas,TV-MA,"dramas, international movies, thrillers","Mario Casas, Déborah François, Guillermo Pfening, María Rodríguez Soto, Celso Bugallo, Raúl Jiménez, Pol Monen, Alice Bocchi, Martín Bacigalupo",1,5.7,15634.0,1
Michael McIntyre: Showman,Movie,2020,6,1,63.0,0,0,2020,United Kingdom,stand-up comedy,TV-MA,stand-up comedy,Michael McIntyre,0,7.2,1467.0,0
Lara and the Beat,Movie,2018,8,1,140.0,0,0,2020,Nigeria,dramas,TV-MA,"dramas, international movies, music & musicals","Seyi Shay, Somkele Iyamah, Vector, Chioma Chukwuka Akpotha, Uche Jumbo, Sharon Ooja, Shaffy Bello, Saidi Balogun, Kemi Lala Akindoju, Ademola Adedoyin",1,5.4,158.0,0
Buddi,TV Show,2020,6,1,2.0,1,0,2020,United Kingdom,british tv shows,TV-Y,"british tv shows, kids' tv","Greta Jameson, Ralf Jameson, Clementine Laikin, Felix Laikin",0,7.1,71.0,0
Night of Knots,Movie,2018,8,1,93.0,0,0,2020,Turkey,comedies,TV-MA,"comedies, international movies, romantic movies","Şahin Irmak, İrem Sak, Gonca Vuslateri, Emre Karayel, Duygu Yetiş, Onur Buldu, Salih Kalyon, Bilge Şen, Nilgün Belgün, Hakan Akın",1,5.3,1441.0,0
Poshter Girl,Movie,2016,10,1,138.0,0,0,2020,India,comedies,TV-14,"comedies, dramas, international movies","Sonalee Kulkarni, Hrishikesh Joshi, Jitendra Joshi, Aniket Vishwasrao, Hemant Dhome, Sandeep Pathak, Siddharth Menon, Akshay Tanksale, Vaibhav Mangale, Anand Ingale",1,6.7,371.0,0
Satria Heroes: Revenge of the Darkness,Movie,2017,9,1,92.0,0,0,2020,Indonesia,children & family movies,TV-G,children & family movies,"Christian Loho, Fernando Surya, Yayan Ruhian, Stella Cornelia, Yui Takano, Safira Ratu, Faris Fadjar Munggaran, Adhitya Alkatiri",1,4.0,85.0,0
Get Organized with The Home Edit,TV Show,2020,6,1,1.0,1,1,2020,United States,reality tv,TV-PG,reality tv,,0,5.6,1931.0,0
Record of Youth,TV Show,2020,6,1,1.0,1,0,2020,South Korea,international tv shows,TV-14,"international tv shows, romantic tv shows, tv dramas","Park Bo-gum, Park So-dam, Byeon Woo-seok, Ha Hee-ra, Shin Ae-ra, Han Jin-hee, Shin Dong-mi, Lee Chang-hoon, Kwon Soo-hyun, Cho Yu-jung, Park Su-young, Seo Sang-won, Lee Jae-won",1,7.2,3742.0,0
Away,TV Show,2020,6,1,1.0,1,1,2020,United States,romantic tv shows,TV-14,"romantic tv shows, tv dramas, tv sci-fi & fantasy","Hilary Swank, Josh Charles, Vivian Wu, Mark Ivanir, Ato Essandoh, Ray Panthaki, Talitha Eliana Bateman",1,6.6,26324.0,1
Spirit Riding Free: Riding Academy,TV Show,2020,6,1,2.0,1,1,2020,United States,kids' tv,TV-Y7,kids' tv,"Amber Frank, Bailey Gambertoglio, Sydney Park, Darcy Rose Byrnes, Rhys Darby",1,6.5,169.0,0
Bookmarks,TV Show,2020,6,1,1.0,1,1,2020,United States,kids' tv,TV-Y,kids' tv,Marley Dias,0,5.8,378.0,0
Children of the Sea,Movie,2019,7,1,112.0,0,0,2020,Japan,anime features,TV-PG,"anime features, international movies","Mana Ashida, Hiiro Ishibashi, Seishu Uragami, Win Morisaki, Goro Inagaki, Yu Aoi, Toru Watanabe, Min Tanaka, Sumiko Fuji",1,6.5,4323.0,0
Erased,TV Show,2016,10,1,1.0,1,0,2020,Japan,anime series,TV-14,"anime series, international tv shows, tv thrillers","Tao Tsuchiya, Shinnosuke Mitsushima, Aoi Yuki, Chinatsu Akasaki, Yo Taichi, Akari Kito, Ayaka Nanase, Yukitoshi Kikuchi, Takahiro Mizushima, Minami Takayama, Mitsuru Miyamoto",1,8.4,72872.0,1
Sex Drive,Movie,2008,18,0,109.0,0,1,2020,United States,comedies,R,comedies,"Josh Zuckerman, Amanda Crew, Clark Duke, Seth Green, James Marsden, Michael Cudlitz, Dave Sheridan, Alice Greczyn, Katrina Bowden, Charlie McDermott, Mark L. Young",1,6.5,94791.0,1
The Match,Movie,2020,6,1,97.0,0,0,2020,Italy,dramas,TV-MA,"dramas, international movies, sports movies","Francesco Pannofino, Alberto Di Stasio, Gabriele Fiore, Giorgio Colangeli, Fabrizio Sabatucci, Veruska Rossi, Giulia Cragnotti, Siria Simeoni, Lidia Vitale, Daniele Mariani",0,5.8,882.0,0
The Promised Neverland,TV Show,2019,7,1,1.0,1,0,2020,Japan,anime series,TV-14,"anime series, international tv shows, tv thrillers","Sumire Morohoshi, Maaya Uchida, Mariya Ise, Yuhko Kaida, Nao Fujita, Shinei Ueki, Lynn, Hiyori Kono, Shizuka Ishigami, Ai Kayano, Mari Hino, Yuko Mori, Ari Ozawa",1,8.1,55634.0,1
Santana,Movie,2020,6,1,107.0,0,0,2020,South Africa,action & adventure,TV-MA,"action & adventure, international movies","Paulo Americano, Raul Rosario, Rapulana Seiphemo, David O'Hara, Hakeem Kae-Kazim, Neide Vieira, Cigano Satyohamba, Nompilo Gwala",0,3.9,1060.0,0
Her Mother's Killer,TV Show,2020,6,1,1.0,1,0,2020,Colombia,international tv shows,TV-MA,"international tv shows, spanish-language tv shows, tv dramas","Carolina Gómez, Marlon Moreno, George Slebi, Geraldine Zivic, Andrea Gómez, María Cecilia Botero, Juliana Galvis, Edwin Maya, Alejandro Gutiérrez, Viviana Santos, Michelle Manterola, Juan Alfonso Baptista, Carolina Cuervo, Santiago Felipe Gomez, Matias Maldonado, Kristina Lilley, Mauricio Figueroa, Ana Wills, Juan Manuel Diaz, Ricardo Mejia, Orlando Valenzuela, Ana-María Sánchez, Julieta Villar",1,7.7,418.0,0
Rising Phoenix,Movie,2020,6,1,107.0,0,0,2020,United Kingdom,documentaries,PG-13,"documentaries, international movies, sports movies",,0,8.1,1888.0,0
Class of '83,Movie,2020,6,1,98.0,0,0,2020,India,dramas,TV-14,"dramas, international movies, thrillers","Bobby Deol, Bhupendra Jadawat, Hitesh Bhojraj, Anup Soni, Joy Sengupta, Sameer Paranjape, Ninad Mahajani, Prithvik Pratap",1,5.8,6057.0,0
Hoops,TV Show,2020,6,1,1.0,1,1,2020,United States,tv comedies,TV-MA,tv comedies,"Jake Johnson, Ron Funches, Cleo King, Natasha Leggero, A.D. Miles, Rob Riggle, Steve Berg, Eric Edelstein, Ben Hoffman, Mary Holland, Gil Ozeri, Sam Richardson, Nick Swardson",1,6.0,7860.0,0
Goedam,TV Show,2020,6,1,1.0,1,0,2020,South Korea,international tv shows,TV-MA,"international tv shows, tv horror, tv mysteries","SEOLA, Lee Hyun-joo, Song Chae-yun, Han Ga-rim, Shim So-young",0,5.7,1510.0,0
Mr. Peabody & Sherman,Movie,2014,12,0,93.0,0,1,2020,United States,children & family movies,PG,"children & family movies, comedies, sci-fi & fantasy","Ty Burrell, Max Charles, Ariel Winter, Stephen Colbert, Leslie Mann, Stanley Tucci, Allison Janney, Mel Brooks, Patrick Warburton, Stephen Tobolowsky, Lake Bell",1,6.7,83043.0,1
The Magic School Bus Rides Again Kids In Space,Movie,2020,6,1,46.0,0,1,2020,United States,children & family movies,TV-Y,children & family movies,"Kate McKinnon, Matthew Mucci, Mikaela Blake, Gabby Clarke, Roman Lutterotti, Leke Maceda-Rustecki, Birva Pandya, Lynsey Pham, Kaden Stephen",1,6.2,113.0,0
World's Most Wanted,TV Show,2020,6,1,1.0,1,1,2020,United States,crime tv shows,TV-14,"crime tv shows, docuseries, international tv shows",,0,7.1,2978.0,0
Malibu Rescue: The Next Wave,Movie,2020,6,1,71.0,0,1,2020,United States,children & family movies,TV-G,"children & family movies, comedies","Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeff Meacham, Ella Gross, Carlos Sanson, JT Neal, Camaron Engels, Kirrilee Berger",1,4.9,1057.0,0
What Keeps You Alive,Movie,2018,8,1,99.0,0,0,2020,Canada,lgbtq movies,R,"lgbtq movies, thrillers","Hannah Emily Anderson, Brittany Allen, Martha MacIsaac, Joey Klein, Charlotte Lindsay Marron",1,5.7,10592.0,1
Uma Maheswara Ugra Roopasya,Movie,2020,6,1,137.0,0,0,2020,India,comedies,TV-MA,"comedies, dramas, independent movies","Satya Dev, VK Naresh, Raghavan, Suhas P, Ravindra Vijay, Chandana Koppisetti, Roopa Koduvayur, Kushalini Pulapa",1,7.6,1809.0,0
The Speed Cubers,Movie,2020,6,1,41.0,0,1,2020,United States,documentaries,TV-PG,documentaries,,0,7.4,4310.0,0
Romance Doll,Movie,2020,6,1,124.0,0,0,2020,Japan,dramas,TV-MA,"dramas, international movies, romantic movies","Issey Takahashi, Yuu Aoi, Kenta Hamano, Toko Miura, Koji Ohkura, Pierre Taki, Eri Watanabe, Kitaro",0,6.4,906.0,0
The Larva Island Movie,Movie,2020,6,1,91.0,0,0,2020,South Korea,children & family movies,TV-Y7,"children & family movies, comedies","Hong Bum-ki, Eddy Lee, Kang Shi-hyun, Ahn Hyo-min, Kim Yeon-woo, Choi Nak-yoon, Tom Wayland, Erica Schroeder",1,5.2,851.0,0
